timestamp,cpu_pct,ram_used_mb,ram_total_mb,ram_pct,disk_write_kb_s
2026-07-27 18:18:59,19,18206,32639,55.8,0
2026-07-27 18:19:05,13,18196,32639,55.7,0
2026-07-27 18:19:12,17,18203,32639,55.8,460.1
2026-07-27 18:19:18,6,18205,32639,55.8,0
2026-07-27 18:19:25,15,18199,32639,55.8,0
2026-07-27 18:19:31,18,18197,32639,55.8,0
2026-07-27 18:19:38,16,18214,32639,55.8,0
2026-07-27 18:19:44,21,18274,32639,56,0
2026-07-27 18:19:50,11,18277,32639,56,0
2026-07-27 18:19:57,10,18256,32639,55.9,15.2
2026-07-27 18:20:03,17,18254,32639,55.9,0
2026-07-27 18:20:10,26,18256,32639,55.9,0
2026-07-27 18:20:16,12,18263,32639,56,0
2026-07-27 18:20:23,3,18292,32639,56,516.7
2026-07-27 18:20:29,1,18126,32639,55.5,0
2026-07-27 18:20:36,5,18151,32639,55.6,0
2026-07-27 18:20:42,1,18153,32639,55.6,0
2026-07-27 18:20:48,0,18130,32639,55.5,0
2026-07-27 18:20:55,5,18087,32639,55.4,0
2026-07-27 18:21:01,1,18054,32639,55.3,0
2026-07-27 18:21:08,0,18060,32639,55.3,0
2026-07-27 18:21:14,1,18057,32639,55.3,0
2026-07-27 18:21:21,4,18066,32639,55.4,0
2026-07-27 18:21:27,3,18063,32639,55.3,0
2026-07-27 18:21:33,0,18063,32639,55.3,93.3
2026-07-27 18:21:40,1,18060,32639,55.3,0
2026-07-27 18:21:46,1,18056,32639,55.3,0
2026-07-27 18:21:53,6,18058,32639,55.3,76.4
2026-07-27 18:21:59,16,18073,32639,55.4,0
2026-07-27 18:22:06,3,18037,32639,55.3,0
2026-07-27 18:22:12,2,18046,32639,55.3,0
2026-07-27 18:22:18,6,18083,32639,55.4,0
2026-07-27 18:22:25,2,18089,32639,55.4,0
2026-07-27 18:22:31,3,18089,32639,55.4,0
2026-07-27 18:22:38,5,18095,32639,55.4,120.6
2026-07-27 18:22:44,3,18104,32639,55.5,0
2026-07-27 18:22:51,14,18131,32639,55.6,0
2026-07-27 18:22:57,0,18136,32639,55.6,0
2026-07-27 18:23:03,0,18146,32639,55.6,0
2026-07-27 18:23:10,3,18113,32639,55.5,0
2026-07-27 18:23:16,1,18122,32639,55.5,0
2026-07-27 18:23:23,0,18121,32639,55.5,45.3
2026-07-27 18:23:29,1,18127,32639,55.5,0
2026-07-27 18:23:35,7,18134,32639,55.6,0
2026-07-27 18:23:42,3,18157,32639,55.6,0
2026-07-27 18:23:48,3,18171,32639,55.7,0
2026-07-27 18:23:55,1,18142,32639,55.6,0
2026-07-27 18:24:01,7,18161,32639,55.6,0
2026-07-27 18:24:08,4,18154,32639,55.6,75.9
2026-07-27 18:24:14,5,18162,32639,55.6,0
2026-07-27 18:24:20,10,18162,32639,55.6,0
2026-07-27 18:24:27,8,18159,32639,55.6,0
2026-07-27 18:24:33,3,18162,32639,55.6,0
2026-07-27 18:24:40,3,18139,32639,55.6,0
2026-07-27 18:24:46,2,18119,32639,55.5,0
2026-07-27 18:24:53,1,18127,32639,55.5,106.5
2026-07-27 18:24:59,2,18134,32639,55.6,75.5
2026-07-27 18:25:05,4,18134,32639,55.6,0
2026-07-27 18:25:12,0,18136,32639,55.6,0
2026-07-27 18:25:18,0,18371,32639,56.3,15.3
2026-07-27 18:25:25,1,18388,32639,56.3,0
2026-07-27 18:25:31,4,18397,32639,56.4,0
2026-07-27 18:25:38,3,18367,32639,56.3,0
2026-07-27 18:25:44,4,18369,32639,56.3,140.5
2026-07-27 18:25:50,9,18383,32639,56.3,467.5
2026-07-27 18:25:57,0,18573,32639,56.9,101339.8
2026-07-27 18:26:03,1,18466,32639,56.6,0
